delivery_datatype	check_status_sv	data_checked_by_sv	visit_year	platform_code	visit_id	expedition_id	station_name	reported_station_name	sample_project_name_sv	sample_orderer_name_sv	visit_date	sample_time	sample_enddate	sample_endtime	shark_sample_id	sample_latitude_dm	sample_longitude_dm	sample_latitude_dd	sample_longitude_dd	positioning_system_code	water_depth_m	wind_direction_code	wind_speed_ms	air_temperature_degc	air_temperature_wet_degc	air_pressure_hpa	weather_observation_code	cloud_observation_code	wave_observation_code	ice_observation_code	Secchi depth (m)	QFLAG Secchi depth	additional_sampling	visit_comment	sample_depth_m	Pressure CTD (dbar)	QFLAG Pressure CTD	Temperature bottle (C)	QFLAG Temperature bottle	Temperature CTD (C)	QFLAG Temperature CTD	Salinity bottle (o/oo psu)	QFLAG Salinity bottle	Salinity CTD (o/oo psu)	QFLAG Salinity CTD	Conductivity_25 bottle (mS/m)	QFLAG Conductivity_25 bottle	Conductivity CTD (mS/m)	QFLAG Conductivity CTD	Dissolved oxygen O2 bottle (ml/l)	QFLAG Dissolved oxygen O2 bottle	Dissolved oxygen O2 CTD (ml/l)	QFLAG Dissolved oxygen CTD	Hydrogen sulphide H2S (umol/l)	QFLAG Hydrogen sulphide H2S	pH	QFLAG pH	pH Laboratory	QFLAG pH Laboratory	Temperature pH Laboratory (C)	QFLAG Temperature pH Laboratory	Alkalinity (mmol/kg)	QFLAG Alkalinity	Alkalinity_2 (mmol/l)	QFLAG Alkalinity_2	Phosphate PO4-P (umol/l)	QFLAG Phosphate PO4-P	Total phosphorus Tot-P (umol/l)	QFLAG Total phosphorus Tot-P	Nitrite NO2-N (umol/l)	QFLAG Nitrite NO2-N	Nitrate NO3-N (umol/l)	QFLAG Nitrate NO3-N	Nitrite+Nitrate NO2+NO3-N (umol/l)	QFLAG Nitrite+Nitrate NO2+NO3-N	Ammonium NH4-N (umol/l)	QFLAG Ammonium NH4-N	Total Nitrogen Tot-N (umol/l)	QFLAG Total Nitrogen Tot-N	Silicate SiO3-Si (umol/l)	QFLAG Silicate SiO3-Si	Humus (ug/l)	QFLAG Humus	Chlorophyll-a bottle (ug/l)	QFLAG Chlorophyll-a bottle	Dissovled organic carbon DOC (umol/l)	QFLAG Dissovled organic carbon DOC	Particulate organic carbon POC (umol/l)	QFLAG Particulate organic carbon POC	Total organic carbon TOC (mg/l)	QFLAG Total organic carbon TOC	Particulate organic nitrogen PON (umol/l)	QFLAG Particulate organic nitrogen PON	Current direction (deca degrees)	QFLAG Current direction	Current velocity (cm/s)	QFLAG Current velocity	Lignin (mg/l)	QFLAG Lignin	Yellow substance (1/l)	QFLAG Yellow substance	Aluminium (ug/l)	QFLAG Aluminium	Urea (umol/l)	QFLAG Urea	Colored dissolved organic matter CDOM (1/m)	QFLAG Colored dissolved organic matter CDOM	sample_comment	location_water_category	location_water_district	location_svar_sea_area_name	location_svar_sea_area_code	location_type_area	location_sea_basin	location_helcom_ospar_area	location_economic_zone	location_county	location_municipality	station_viss_eu_id	reporting_institute_name_sv	data_holding_centre	internet_access	dataset_name	dataset_file_name
Physical and Chemical	Klar	Leverantör och Datavärd	2015	34AR	0692		ANHOLT E	ANHOLT E	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2015-12-11	23:30			SHARK-HYD+2015+34AR+0692+30+30	56 40.00	12 07.00	56.66667	12.11667		62	26	12	5.8		1006	9	9	9	0				NO ZOOPLANKTON SAMPLING DUE TO STRONG CURRENT.	30					8.94		31.012		30.961						6.17		6.19				8.15						2.278				0.49		0.97		0.38		3.21				0.20	<	14.4		6.2		2.8		1.1																									4 - Utsjövatten					S Kattegatt	OSPAR/HELCOM	Svensk ekonomisk zon	Utanför gränser	Utanför gränser	SE628823-127388	Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2015_BAS_SMHI	SHARK_PhysicalChemical_2015_BAS_SMHI_version_2018-05-21.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2015	34AR	0692		ANHOLT E	ANHOLT E	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2015-12-11	23:30			SHARK-HYD+2015+34AR+0692+40+40	56 40.00	12 07.00	56.66667	12.11667		62	26	12	5.8		1006	9	9	9	0				NO ZOOPLANKTON SAMPLING DUE TO STRONG CURRENT.	40			9.32		9.35		31.658		31.704						5.94		5.89				8.15						2.298				0.52		0.91		0.44		3.13				0.20	<	14.6		6.9		2.8		0.9																									4 - Utsjövatten					S Kattegatt	OSPAR/HELCOM	Svensk ekonomisk zon	Utanför gränser	Utanför gränser	SE628823-127388	Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2015_BAS_SMHI	SHARK_PhysicalChemical_2015_BAS_SMHI_version_2018-05-21.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2015	34AR	0692		ANHOLT E	ANHOLT E	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2015-12-11	23:30			SHARK-HYD+2015+34AR+0692+50+50	56 40.00	12 07.00	56.66667	12.11667		62	26	12	5.8		1006	9	9	9	0				NO ZOOPLANKTON SAMPLING DUE TO STRONG CURRENT.	50					9.45		31.812		31.806						5.81		5.80				8.14						2.302				0.56		1.08		0.41		3.40				0.20	<	15.0		7.3		2.8																											4 - Utsjövatten					S Kattegatt	OSPAR/HELCOM	Svensk ekonomisk zon	Utanför gränser	Utanför gränser	SE628823-127388	Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2015_BAS_SMHI	SHARK_PhysicalChemical_2015_BAS_SMHI_version_2018-05-21.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2015	34AR	0692		ANHOLT E	ANHOLT E	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2015-12-11	23:30			SHARK-HYD+2015+34AR+0692+61+61	56 40.00	12 07.00	56.66667	12.11667		62	26	12	5.8		1006	9	9	9	0				NO ZOOPLANKTON SAMPLING DUE TO STRONG CURRENT.	61			9.53				31.839								5.81						8.13						2.298				0.58		0.97		0.42		3.69				0.20	<	15.7		7.6		2.9																											4 - Utsjövatten					S Kattegatt	OSPAR/HELCOM	Svensk ekonomisk zon	Utanför gränser	Utanför gränser	SE628823-127388	Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2015_BAS_SMHI	SHARK_PhysicalChemical_2015_BAS_SMHI_version_2018-05-21.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2015	34AR	0690		SLÄGGÖ	SLÄGGÖ	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2015-12-11	12:20			SHARK-HYD+2015+34AR+0690+0+0	58 15.50	11 26.00	58.25833	11.43333		73	21	4	5.5		1002	2	8	2	0	4				0			8.09		8.14		29.376		29.848						6.88		6.86														0.48		0.88		0.47		4.28				1.14		17.9		7.9				0.8																									2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Gullmarn centralbassäng	581700-113000	02 - Västkustens fjordar	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Lysekil	SE646775-124345	Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2015_BAS_SMHI	SHARK_PhysicalChemical_2015_BAS_SMHI_version_2018-05-21.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2015	34AR	0690		SLÄGGÖ	SLÄGGÖ	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2015-12-11	12:20			SHARK-HYD+2015+34AR+0690+5+5	58 15.50	11 26.00	58.25833	11.43333		73	21	4	5.5		1002	2	8	2	0	4				5					8.16		30.104		30.077						6.89		6.84														0.48		0.92		0.49		3.62				1.13		17.5		5.6				0.9																									2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Gullmarn centralbassäng	581700-113000	02 - Västkustens fjordar	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Lysekil	SE646775-124345	Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2015_BAS_SMHI	SHARK_PhysicalChemical_2015_BAS_SMHI_version_2018-05-21.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2015	34AR	0690		SLÄGGÖ	SLÄGGÖ	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2015-12-11	12:20			SHARK-HYD+2015+34AR+0690+10+10	58 15.50	11 26.00	58.25833	11.43333		73	21	4	5.5		1002	2	8	2	0	4				10			8.15		8.21		30.130		30.105						6.88		6.85														0.47		0.94		0.48		3.38				0.94		14.8		5.6				0.9																									2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Gullmarn centralbassäng	581700-113000	02 - Västkustens fjordar	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Lysekil	SE646775-124345	Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2015_BAS_SMHI	SHARK_PhysicalChemical_2015_BAS_SMHI_version_2018-05-21.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2015	34AR	0690		SLÄGGÖ	SLÄGGÖ	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2015-12-11	12:20			SHARK-HYD+2015+34AR+0690+15+15	58 15.50	11 26.00	58.25833	11.43333		73	21	4	5.5		1002	2	8	2	0	4				15					8.25		30.172		30.180						6.86		6.82														0.47		0.91		0.49		3.61				1.05		14.6		5.7				0.8																									2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Gullmarn centralbassäng	581700-113000	02 - Västkustens fjordar	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Lysekil	SE646775-124345	Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2015_BAS_SMHI	SHARK_PhysicalChemical_2015_BAS_SMHI_version_2018-05-21.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2015	34AR	0690		SLÄGGÖ	SLÄGGÖ	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2015-12-11	12:20			SHARK-HYD+2015+34AR+0690+20+20	58 15.50	11 26.00	58.25833	11.43333		73	21	4	5.5		1002	2	8	2	0	4				20			8.35		8.36		30.377		30.369						6.81		6.72														0.49		0.90		0.53		3.67				1.15		14.5		5.9				0.6																									2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Gullmarn centralbassäng	581700-113000	02 - Västkustens fjordar	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Lysekil	SE646775-124345	Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2015_BAS_SMHI	SHARK_PhysicalChemical_2015_BAS_SMHI_version_2018-05-21.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2015	34AR	0690		SLÄGGÖ	SLÄGGÖ	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2015-12-11	12:20			SHARK-HYD+2015+34AR+0690+30+30	58 15.50	11 26.00	58.25833	11.43333		73	21	4	5.5		1002	2	8	2	0	4				30					9.42		31.941		31.984						6.10		6.00														0.55		0.98		0.62		3.97				0.71		14.0		6.4				0.2																									2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Gullmarn centralbassäng	581700-113000	02 - Västkustens fjordar	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Lysekil	SE646775-124345	Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2015_BAS_SMHI	SHARK_PhysicalChemical_2015_BAS_SMHI_version_2018-05-21.zip
