delivery_datatype	check_status_sv	data_checked_by_sv	visit_year	platform_code	visit_id	expedition_id	station_name	reported_station_name	sample_project_name_sv	sample_orderer_name_sv	visit_date	sample_time	sample_enddate	sample_endtime	shark_sample_id	sample_latitude_dm	sample_longitude_dm	sample_latitude_dd	sample_longitude_dd	positioning_system_code	water_depth_m	wind_direction_code	wind_speed_ms	air_temperature_degc	air_temperature_wet_degc	air_pressure_hpa	weather_observation_code	cloud_observation_code	wave_observation_code	ice_observation_code	Secchi depth (m)	QFLAG Secchi depth	additional_sampling	visit_comment	sample_depth_m	Pressure CTD (dbar)	QFLAG Pressure CTD	Temperature bottle (C)	QFLAG Temperature bottle	Temperature CTD (C)	QFLAG Temperature CTD	Salinity bottle (o/oo psu)	QFLAG Salinity bottle	Salinity CTD (o/oo psu)	QFLAG Salinity CTD	Conductivity_25 bottle (mS/m)	QFLAG Conductivity_25 bottle	Conductivity CTD (mS/m)	QFLAG Conductivity CTD	Dissolved oxygen O2 bottle (ml/l)	QFLAG Dissolved oxygen O2 bottle	Dissolved oxygen O2 CTD (ml/l)	QFLAG Dissolved oxygen CTD	Hydrogen sulphide H2S (umol/l)	QFLAG Hydrogen sulphide H2S	pH	QFLAG pH	pH Laboratory	QFLAG pH Laboratory	Temperature pH Laboratory (C)	QFLAG Temperature pH Laboratory	Alkalinity (mmol/kg)	QFLAG Alkalinity	Alkalinity_2 (mmol/l)	QFLAG Alkalinity_2	Phosphate PO4-P (umol/l)	QFLAG Phosphate PO4-P	Total phosphorus Tot-P (umol/l)	QFLAG Total phosphorus Tot-P	Nitrite NO2-N (umol/l)	QFLAG Nitrite NO2-N	Nitrate NO3-N (umol/l)	QFLAG Nitrate NO3-N	Nitrite+Nitrate NO2+NO3-N (umol/l)	QFLAG Nitrite+Nitrate NO2+NO3-N	Ammonium NH4-N (umol/l)	QFLAG Ammonium NH4-N	Total Nitrogen Tot-N (umol/l)	QFLAG Total Nitrogen Tot-N	Silicate SiO3-Si (umol/l)	QFLAG Silicate SiO3-Si	Humus (ug/l)	QFLAG Humus	Chlorophyll-a bottle (ug/l)	QFLAG Chlorophyll-a bottle	Dissovled organic carbon DOC (umol/l)	QFLAG Dissovled organic carbon DOC	Particulate organic carbon POC (umol/l)	QFLAG Particulate organic carbon POC	Total organic carbon TOC (mg/l)	QFLAG Total organic carbon TOC	Particulate organic nitrogen PON (umol/l)	QFLAG Particulate organic nitrogen PON	Current direction (deca degrees)	QFLAG Current direction	Current velocity (cm/s)	QFLAG Current velocity	Lignin (mg/l)	QFLAG Lignin	Yellow substance (1/l)	QFLAG Yellow substance	Aluminium (ug/l)	QFLAG Aluminium	Urea (umol/l)	QFLAG Urea	Colored dissolved organic matter CDOM (1/m)	QFLAG Colored dissolved organic matter CDOM	sample_comment	location_water_category	location_water_district	location_svar_sea_area_name	location_svar_sea_area_code	location_type_area	location_sea_basin	location_helcom_ospar_area	location_economic_zone	location_county	location_municipality	station_viss_eu_id	reporting_institute_name_sv	data_holding_centre	internet_access	dataset_name	dataset_file_name
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0086		DANAFJORD	DANAFJORD	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-07-03	06:50			SHARK-HYD+2017+77SN+0086+10+10	57 40.05	11 41.20	57.66750	11.68667		40	28	15	16		1005	1	2	3	0	4.5			SLANG 0-15M OCH 10-20M. HÅV 0-20M.	10			15.76		15.79				24.85						5.93																0.05		0.56		0.05		0.10	<	0.10	<	0.20	<	16.3		0.9				1.4																									2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Dana fjord	574000-114230	01s - Västkustens inre kustvatten	N Kattegatt	OSPAR/HELCOM	Svensk ekonomisk zon	Västra Götalands län	Öckerö		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2018-05-21.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0086		DANAFJORD	DANAFJORD	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-07-03	06:50			SHARK-HYD+2017+77SN+0086+15+15	57 40.05	11 41.20	57.66750	11.68667		40	28	15	16		1005	1	2	3	0	4.5			SLANG 0-15M OCH 10-20M. HÅV 0-20M.	15			13.00		13.00				30.79						5.28																0.27		0.56		0.17		0.55		0.72		1.02		11.8		5.7				0.5																									2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Dana fjord	574000-114230	01s - Västkustens inre kustvatten	N Kattegatt	OSPAR/HELCOM	Svensk ekonomisk zon	Västra Götalands län	Öckerö		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2018-05-21.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0086		DANAFJORD	DANAFJORD	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-07-03	06:50			SHARK-HYD+2017+77SN+0086+20+20	57 40.05	11 41.20	57.66750	11.68667		40	28	15	16		1005	1	2	3	0	4.5			SLANG 0-15M OCH 10-20M. HÅV 0-20M.	20			12.51		12.47				31.78						5.04																0.38		0.77		0.29		1.00		1.29		1.20		13.6		8.0				0.4				11.1																					2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Dana fjord	574000-114230	01s - Västkustens inre kustvatten	N Kattegatt	OSPAR/HELCOM	Svensk ekonomisk zon	Västra Götalands län	Öckerö		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2018-05-21.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0086		DANAFJORD	DANAFJORD	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-07-03	06:50			SHARK-HYD+2017+77SN+0086+30+30	57 40.05	11 41.20	57.66750	11.68667		40	28	15	16		1005	1	2	3	0	4.5			SLANG 0-15M OCH 10-20M. HÅV 0-20M.	30			11.91		12.02				32.54						5.04																0.45		0.90		0.38		1.60		1.98		1.20		14.8		8.0				0.4																									2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Dana fjord	574000-114230	01s - Västkustens inre kustvatten	N Kattegatt	OSPAR/HELCOM	Svensk ekonomisk zon	Västra Götalands län	Öckerö		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2018-05-21.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0086		DANAFJORD	DANAFJORD	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-07-03	06:50			SHARK-HYD+2017+77SN+0086+39+39	57 40.05	11 41.20	57.66750	11.68667		40	28	15	16		1005	1	2	3	0	4.5			SLANG 0-15M OCH 10-20M. HÅV 0-20M.	39			11.73												4.94																0.52		0.74		0.40		2.01		2.41		1.32		14.1		9.4																													2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Dana fjord	574000-114230	01s - Västkustens inre kustvatten	N Kattegatt	OSPAR/HELCOM	Svensk ekonomisk zon	Västra Götalands län	Öckerö		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2018-05-21.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0090		HAVSTENSFJORD	HAVSTENSFJORD	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-07-03	12:50			SHARK-HYD+2017+77SN+0090+0+0	58 18.75	11 46.40	58.31250	11.77333		40	27	14	16		1003	1	3	2	0	4.0			SLANG 0-10M OCH 10-20M. HÅV 0-20M.	0			16.87		16.88				22.88						5.99																0.04		0.66		0.04		0.10	<	0.10	<	0.20	<	16.1		0.2				1.0				23.3																					2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Havstensfjorden	581740-114820	02 - Västkustens fjordar	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Uddevalla		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2018-05-21.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0090		HAVSTENSFJORD	HAVSTENSFJORD	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-07-03	12:50			SHARK-HYD+2017+77SN+0090+2+2	58 18.75	11 46.40	58.31250	11.77333		40	27	14	16		1003	1	3	2	0	4.0			SLANG 0-10M OCH 10-20M. HÅV 0-20M.	2				B	16.87				22.88						5.90																0.04		0.52		0.04		0.10	<	0.10	<	0.20	<	15.3		0.2				1.1																									2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Havstensfjorden	581740-114820	02 - Västkustens fjordar	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Uddevalla		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2018-05-21.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0090		HAVSTENSFJORD	HAVSTENSFJORD	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-07-03	12:50			SHARK-HYD+2017+77SN+0090+5+5	58 18.75	11 46.40	58.31250	11.77333		40	27	14	16		1003	1	3	2	0	4.0			SLANG 0-10M OCH 10-20M. HÅV 0-20M.	5			16.87		16.86				22.88						6.00																0.04		0.51		0.04		0.10	<	0.10	<	0.20	<	16.2		0.3				1.1				20.3																					2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Havstensfjorden	581740-114820	02 - Västkustens fjordar	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Uddevalla		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2018-05-21.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0090		HAVSTENSFJORD	HAVSTENSFJORD	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-07-03	12:50			SHARK-HYD+2017+77SN+0090+10+10	58 18.75	11 46.40	58.31250	11.77333		40	27	14	16		1003	1	3	2	0	4.0			SLANG 0-10M OCH 10-20M. HÅV 0-20M.	10			9.61		10.01				26.97						3.67																0.56		0.99		0.38		4.85		5.23		1.22		18.2		12.7				1.2																									2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Havstensfjorden	581740-114820	02 - Västkustens fjordar	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Uddevalla		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2018-05-21.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0090		HAVSTENSFJORD	HAVSTENSFJORD	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-07-03	12:50			SHARK-HYD+2017+77SN+0090+15+15	58 18.75	11 46.40	58.31250	11.77333		40	27	14	16		1003	1	3	2	0	4.0			SLANG 0-10M OCH 10-20M. HÅV 0-20M.	15			9.21		9.22				28.95						3.36																0.79		1.20		0.46		6.64		7.10		1.52		19.4		15.5				0.3																									2 - Havsområde innanför 1 NM	Västerhavets vattendistrikt	Havstensfjorden	581740-114820	02 - Västkustens fjordar	Skagerrak	OSPAR	Svensk ekonomisk zon	Västra Götalands län	Uddevalla		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2018-05-21.zip
